Reuse_file_path,Reuse_time,Reuse_k,Reuse_solver,Reuse_neg_state,Reuse_num_s,Reuse_num_t,Reuse_num_gen,Reuse_status,Reuse_frame_sizes,Reuse_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_589_e3_349.lus,0.763,2,553,13,0,0,Not Found,unsafe,11 2,1.117
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_893.lus,0.742,2,526,12,0,0,Not Found,unsafe,10 1,1.082
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e1_956.lus,1.689,2,865,16,0,0,Not Found,unsafe,15 4,2.036
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e3_47.lus,1.164,2,631,13,0,0,Not Found,unsafe,11 2,1.511
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e5_979.lus,0.911,2,568,12,0,0,Not Found,unsafe,10 1,1.253
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd.lus,18.788,9,12129,93,4,51,Not Found,safe,70 67 63 59 54 46 34 18,19.137
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd_e7_621_e7_669.lus,0.512,2,547,14,1,0,Not Found,unsafe,12 3,0.861
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd_e7_8.lus,0.628,5,861,17,2,4,Not Found,unsafe,10 7 5 3 1,0.965
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/Gas.lus,114.478,17,25196,22,1,0,Not Found,timeout,26 22 18 16 14 12 11 10 9 8 7 6 5 4 3 2 1,290.134
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1.lus,1.973,5,2064,16,3,0,Not Found,safe,11 7 6 3,2.322
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e1_1317.lus,1.011,4,1060,14,0,0,Not Found,safe,9 6 5,1.357
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e3_1060.lus,0.958,4,1037,16,0,0,Not Found,safe,11 8 6,1.306
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e7_397.lus,1.035,4,1107,21,0,0,Not Found,safe,20 18 14,1.38
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e1_317.lus,1.274,5,1102,16,0,0,Not Found,safe,9 8 7 5,1.628
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e2_943.lus,0.667,4,722,10,0,0,Not Found,safe,5 4 2,1.009
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e3_961.lus,0.996,4,1068,14,0,0,Not Found,safe,9 6 4,1.347
