Unsatcore_file_path,Unsatcore_time,Unsatcore_k,Unsatcore_solver,Unsatcore_neg_state,Unsatcore_status,Unsatcore_frame_sizes,Unsatcore_elapsed_time
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244.lus,80.571,13,16080,101,safe,55 53 51 49 47 45 41 37 32 26 18 10,80.972
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e1_823.lus,9.692,10,4872,32,safe,18 17 15 13 11 10 7 4 2,10.044
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e2_693.lus,0.258,2,133,10,unsafe,8 1,0.609
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_5_e7_244_e3_1071.lus,0.305,2,133,10,unsafe,8 1,0.654
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6.lus,90.601,14,20268,138,safe,65 63 60 57 54 52 48 43 38 32 25 17 8,90.982
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e1_152.lus,26.131,13,9792,73,safe,60 58 56 54 52 50 46 41 35 28 19 9,26.488
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e1_152_e1_391.lus,1.883,7,1785,24,safe,16 15 12 11 9 4,2.227
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_589_e2_506.lus,0.312,2,176,13,unsafe,11 2,0.66
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_589_e3_349.lus,0.335,2,177,13,unsafe,11 2,0.674
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e2_893.lus,0.313,2,173,13,unsafe,11 2,0.652
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e1_956.lus,0.494,2,266,16,unsafe,15 4,0.832
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e3_47.lus,0.335,2,173,13,unsafe,11 2,0.68
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/car_6_e3_294_e5_979.lus,0.388,2,173,13,unsafe,11 2,0.722
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd.lus,10.018,9,6337,59,safe,73 70 66 60 55 48 38 21,10.389
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd_e7_621_e7_669.lus,0.297,2,149,11,unsafe,6 0,0.641
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/cd_e7_8.lus,0.245,2,139,10,unsafe,8 1,0.604
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/Gas.lus,0.034,1,22,2,timeout,2,290.257
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1.lus,1.315,5,919,15,safe,8 5 4 2,1.653
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e1_1317.lus,0.937,4,736,19,safe,19 17 10,1.288
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e3_1060.lus,0.264,3,223,9,safe,8 6,0.603
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e1_846_e7_397.lus,0.722,4,597,15,safe,12 9 6,1.084
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e1_317.lus,0.699,4,570,13,safe,3 1 0,1.046
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e2_943.lus,0.367,3,286,10,safe,11 8,0.716
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e3_961.lus,0.691,4,549,15,safe,10 6 4,1.03
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e2_1102_e7_1163.lus,0.54,4,480,12,safe,6 3 2,0.895
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_1_e7_606.lus,1.09,4,829,19,safe,8 4 2,1.448
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2.lus,118.406,13,18145,117,safe,123 121 118 115 110 104 96 86 74 60 44 22,118.796
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e1_556.lus,23.035,7,5078,86,unsafe,55 39 33 24 20 14 7,23.426
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e2_617.lus,1.601,6,1192,22,safe,11 10 9 7 3,1.959
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e3_287.lus,0.957,2,403,20,unsafe,18 9,1.318
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_1116_e7_1440.lus,12.716,4,3124,73,unsafe,68 49 26 6,13.101
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e1_190.lus,56.464,13,13341,90,safe,82 77 73 71 70 69 67 62 54 44 32 16,56.87
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e2_704_e1_389.lus,6.474,3,1742,51,unsafe,50 35 11,6.845
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e2_704_e2_13.lus,1.199,6,986,17,safe,9 8 7 5 2,1.556
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e2_704_e3_76.lus,0.849,2,334,18,unsafe,17 7,1.2
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e2_704_e7_810.lus,6.519,3,2670,61,unsafe,62 36 18,6.883
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e2_968.lus,42.654,14,8970,80,unsafe,40 30 27 23 20 18 16 14 12 10 8 6 4 1,43.054
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_2_e3_112.lus,9.746,3,1764,58,unsafe,52 28 9,10.14
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_3.lus,247.725,20,23760,50,timeout,23 21 20 19 18 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2,290.18
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_3_e3_1275.lus,219.741,20,25234,33,timeout,26 22 21 20 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3,290.189
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_3_e3_1275_e1_1350.lus,40.515,13,9129,58,timeout,19 17 14 13 12 11 10 8 7 6 5 4 2,290.247
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_3_e3_1275_e5_846.lus,13.221,3,1471,53,unsafe,48 30 2,13.602
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_3_e3_1275_e6_1315.lus,259.265,20,23760,50,timeout,23 21 20 19 18 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2,290.196
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_3_e3_1275_e7_529.lus,15.592,3,2248,61,unsafe,60 44 6,15.971
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_3_e4_987.lus,226.489,7,16605,69,timeout,42 39 30 28 26 19 16,290.174
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_3_e4_987_e1_1115.lus,289.243,16,24571,77,timeout,31 27 24 22 20 18 16 15 14 13 12 11 10 9 8 7,290.218
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_3_e4_987_e2_80.lus,15.218,3,2461,68,unsafe,67 41 11,15.612
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_3_e4_987_e3_291.lus,248.842,21,25917,93,unsafe,64 54 41 37 34 32 30 28 26 24 22 20 18 16 14 12 10 8 6 4 1,249.316
/home/ubuntu/Lustre-exp/kind2-benchmarks/FMCAD08/Int/simulation/metros_4.lus,236.608,20,23778,50,timeout,23 21 20 19 18 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2,290.191
